year,week,date,state,suspected,labpositive,labnegative,untested
2017,9,03/03/2017,Bauchi,1,0,0,1
2017,9,03/03/2017,Plateau,1,0,0,1
2017,9,03/03/2017,Taraba,1,0,0,1
2017,10,10/03/2017,Edo,3,3,0,0
2017,11,17/03/2017,Edo,2,2,0,0
2017,11,17/03/2017,FCT,1,0,0,1
2017,11,17/03/2017,Gombe,2,0,2,0
2017,11,17/03/2017,Nasarawa,1,0,1,0
2017,12,24/03/2017,Adamawa,6,0,0,6
2017,12,24/03/2017,Bauchi,1,0,0,1
2017,12,24/03/2017,Ebonyi,1,0,0,1
2017,12,24/03/2017,Edo,13,10,3,0
2017,12,24/03/2017,Nasarawa,3,0,3,0
2017,12,24/03/2017,Ogun,3,0,3,0
2017,13,01/04/2017,Bauchi,2,1,2,-1
2017,13,01/04/2017,Ekiti,1,0,1,0
2017,13,01/04/2017,Gombe,1,0,1,0
2017,13,01/04/2017,Kogi,2,0,2,0
2017,13,01/04/2017,Ondo,8,1,7,0
2017,13,01/04/2017,Osun,1,0,1,0
2017,13,01/04/2017,Plateau,3,1,2,0
2017,13,01/04/2017,Taraba,1,0,1,0
2017,14,08/04/2017,Ebonyi,1,1,0,0
2017,14,08/04/2017,Edo,3,1,2,0
2017,14,08/04/2017,FCT,2,0,2,0
2017,14,08/04/2017,Gombe,1,0,1,0
2017,14,08/04/2017,Nasarawa,1,0,1,0
2017,14,08/04/2017,Ondo,9,0,9,0
2017,14,08/04/2017,Oyo,1,0,1,0
2017,14,08/04/2017,Plateau,1,0,1,0
2017,15,14/04/2017,Bauchi,2,0,0,2
2017,15,14/04/2017,Kano,1,0,0,1
2017,16,21/04/2017,Enugu,1,1,0,0
2017,16,21/04/2017,Kano,1,0,1,0
2017,16,21/04/2017,Ondo,2,0,0,2
2017,17,28/04/2017,Bauchi,1,0,0,1
2017,17,28/04/2017,Taraba,1,0,0,1
2017,17,28/04/2017,Yobe,1,0,0,1
2017,18,05/05/2017,Kano,2,0,0,2
2017,19,12/05/2017,Jigawa,1,0,1,0
2017,19,12/05/2017,Kaduna,1,0,1,0
2017,20,19/05/2017,Edo,10,0,0,10
2017,20,19/05/2017,Taraba,1,0,0,1
2017,21,26/05/2017,Cross River,1,0,1,0
2017,21,26/05/2017,Nasarawa,1,0,1,0
2017,22,02/06/2017,Cross River,1,0,1,0
2017,22,02/06/2017,Nasarawa,1,0,1,0
2017,22,02/06/2017,Plateau,2,1,1,0
2017,23,09/06/2017,Anambra,1,1,0,0
2017,23,09/06/2017,Ogun,2,0,2,0
2017,24,16/06/2017,Edo,4,4,0,0
2017,24,16/06/2017,Katsina,3,0,3,0
2017,24,16/06/2017,Kogi,1,0,1,0
2017,24,16/06/2017,Ogun,1,0,1,0
2017,24,16/06/2017,Taraba,1,0,1,0
2017,25,25/06/2017,Bauchi,1,0,0,1
2017,25,25/06/2017,Edo,1,1,0,0
2017,25,25/06/2017,Ogun,1,0,0,1
2017,25,25/06/2017,Ondo,6,6,0,0
2017,26,02/07/2017,Ondo,3,3,0,0
2017,27,09/07/2017,Gombe,2,0,2,0
2017,27,09/07/2017,Ondo,2,0,2,0
2017,27,09/07/2017,Plateau,8,3,5,0
2017,28,16/07/2017,Katsina,1,0,1,0
2017,28,16/07/2017,Ondo,2,2,0,0
2017,28,16/07/2017,Plateau,3,1,2,0
2017,29,23/07/2017,Plateau,5,4,1,0
2017,30,30/07/2017,Edo,10,2,8,0
2017,30,30/07/2017,Nasarawa,1,0,0,1
2017,30,30/07/2017,Plateau,1,0,0,1
2017,31,06/08/2017,Benue,1,0,1,0
2017,31,06/08/2017,Lagos,1,1,0,0
2017,31,06/08/2017,Ondo,1,1,0,0
2017,31,06/08/2017,Plateau,2,0,0,2
2017,32,13/08/2017,Edo,8,2,6,0
2017,32,13/08/2017,Kwara,5,0,0,5
2017,32,13/08/2017,Ogun,1,1,0,0
2017,32,13/08/2017,Ondo,1,1,0,0
2017,32,13/08/2017,Oyo,1,0,1,0
2017,32,13/08/2017,Plateau,1,0,1,0
2017,32,13/08/2017,Yobe,2,0,2,0
2017,33,20/08/2017,Anambra,1,0,0,1
2017,33,20/08/2017,Edo,3,3,0,0
2017,33,20/08/2017,Kwara,24,0,0,24
2017,33,20/08/2017,Nasarawa,1,0,0,1
2017,33,20/08/2017,Ogun,5,2,3,0
2017,33,20/08/2017,Ondo,2,1,1,0
2017,33,20/08/2017,Plateau,1,0,0,1
2017,33,20/08/2017,Taraba,2,0,0,2
2017,34,27/08/2017,Cross River,1,0,1,0
2017,34,27/08/2017,Edo,34,2,32,0
2017,34,27/08/2017,Kwara,15,0,15,0
2017,34,27/08/2017,Ondo,3,3,0,0
2017,34,27/08/2017,Plateau,1,0,1,0
2017,35,03/09/2017,Edo,8,0,8,0
2017,35,03/09/2017,FCT,1,0,1,0
2017,35,03/09/2017,Kogi,1,1,0,0
2017,35,03/09/2017,Nasarawa,1,0,1,0
2017,35,03/09/2017,Ogun,1,0,1,0
2017,35,03/09/2017,Ondo,1,1,0,0
2017,35,03/09/2017,Plateau,3,0,3,0
2017,36,10/09/2017,Edo,4,0,4,0
2017,36,10/09/2017,FCT,2,0,2,0
2017,36,10/09/2017,Gombe,1,0,1,0
2017,36,10/09/2017,Kogi,1,0,1,0
2017,36,10/09/2017,Ogun,1,0,1,0
2017,36,10/09/2017,Ondo,12,3,9,0
2017,37,17/09/2017,Bauchi,1,0,1,0
2017,37,17/09/2017,Edo,3,3,0,0
2017,37,17/09/2017,Gombe,2,0,2,0
2017,37,17/09/2017,Kwara,2,0,2,0
2017,38,24/09/2017,Gombe,2,0,2,0
2017,38,24/09/2017,Kaduna,1,0,1,0
2017,38,24/09/2017,Kwara,12,0,0,12
2017,39,01/10/2017,Lagos,1,1,0,0
2017,40,08/10/2017,Bauchi,1,0,1,0
2017,40,08/10/2017,Benue,2,0,2,0
2017,40,08/10/2017,FCT,1,0,1,0
2017,40,08/10/2017,Katsina,2,0,2,0
2017,40,08/10/2017,Kogi,1,0,1,0
2017,40,08/10/2017,Kwara,2,0,2,0
2017,40,08/10/2017,Ogun,1,0,1,0
2017,40,08/10/2017,Plateau,1,1,0,0
2017,41,15/10/2017,Bauchi,1,1,0,0
2017,41,15/10/2017,Edo,3,0,3,0
2017,41,15/10/2017,Kogi,1,0,1,0
2017,41,15/10/2017,Ogun,1,0,1,0
2017,41,15/10/2017,Oyo,1,0,1,0
2017,41,15/10/2017,Plateau,4,0,4,0
2017,42,22/10/2017,Bauchi,1,1,0,0
2017,42,22/10/2017,Borno,1,0,1,0
2017,42,22/10/2017,Edo,4,1,3,0
2017,42,22/10/2017,FCT,2,0,2,0
2017,42,22/10/2017,Kogi,2,0,2,0
2017,42,22/10/2017,Kwara,11,0,4,7
2017,43,29/10/2017,Bauchi,3,1,2,0
2017,43,29/10/2017,Edo,3,0,3,0
2017,43,29/10/2017,Kogi,1,0,1,0
2017,43,29/10/2017,Ondo,1,0,1,0
2017,44,05/11/2017,Bauchi,2,0,2,0
2017,44,05/11/2017,Ondo,2,1,1,0
2017,45,12/11/2017,Bauchi,1,1,0,0
2017,45,12/11/2017,Oyo,1,0,0,1
2017,46,19/11/2017,Bauchi,2,1,1,0
2017,46,19/11/2017,Edo,18,0,18,0
2017,46,19/11/2017,Kaduna,1,1,0,0
2017,46,19/11/2017,Oyo,1,0,1,0
2017,46,19/11/2017,Plateau,2,1,0,1
2017,47,26/11/2017,Edo,23,3,20,0
2017,47,26/11/2017,Nasarawa,1,0,1,0
2017,47,26/11/2017,Ondo,1,1,0,0
2017,48,03/12/2017,Edo,15,5,10,0
2017,48,03/12/2017,Gombe,1,0,0,1
2017,49,10/12/2017,Bauchi,1,0,0,1
2017,49,10/12/2017,Edo,15,0,15,0
2017,49,10/12/2017,Ondo,1,1,0,0
2017,49,10/12/2017,Rivers,1,0,1,0
2017,50,17/12/2017,Edo,1,1,0,0
2017,50,17/12/2017,FCT,1,0,1,0
2017,50,17/12/2017,Ondo,1,1,0,0
2017,50,17/12/2017,Osun,3,0,3,0
2017,51,24/12/2017,Bauchi,3,0,3,0
2017,51,24/12/2017,FCT,1,0,1,0
2017,51,24/12/2017,Gombe,1,0,1,0
2017,51,24/12/2017,Kogi,1,0,1,0
2017,51,24/12/2017,Lagos,1,0,1,0
2017,51,24/12/2017,Ondo,1,1,0,0
2017,52,31/12/2017,Bauchi,2,0,2,0
2017,52,31/12/2017,Edo,1,1,0,0
2017,52,31/12/2017,Kogi,2,0,2,0
2017,52,30/12/2017,Plateau,1,1,0,0
2017,52,30/12/2017,Taraba,1,1,0,0
2018,1,07/01/2018,Bauchi,1,1,0,0
2018,1,07/01/2018,Edo,1,0,1,0
2018,1,07/01/2018,FCT,1,0,1,0
2018,1,07/01/2018,Nasarawa,1,0,1,0
2018,2,14/01/2018,Anambra,1,1,0,0
2018,2,14/01/2018,Bauchi,2,0,2,0
2018,2,14/01/2018,Ebonyi,7,7,0,0
2018,2,14/01/2018,Edo,3,3,0,0
2018,2,14/01/2018,Nasarawa,1,0,1,0
2018,2,14/01/2018,Ondo,9,1,8,0
2018,3,21/01/2018,Bauchi,2,0,2,0
2018,3,21/01/2018,Ebonyi,4,4,0,0
2018,3,21/01/2018,Edo,24,14,10,0
2018,3,21/01/2018,FCT,2,0,2,0
2018,3,21/01/2018,Gombe,3,0,3,0
2018,3,21/01/2018,Kaduna,3,0,3,0
2018,3,21/01/2018,Kogi,4,2,2,0
2018,3,21/01/2018,Nasarawa,1,0,1,0
2018,3,21/01/2018,Osun,1,0,1,0
2018,3,21/01/2018,Oyo,1,0,1,0
2018,3,21/01/2018,Plateau,2,1,1,0
2018,3,21/01/2018,Rivers,4,0,4,0
2018,3,21/01/2018,Taraba,2,0,2,0
2018,4,28/01/2018,Bauchi,1,0,1,0
2018,4,28/01/2018,Borno,1,0,0,1
2018,4,28/01/2018,Cross River,2,0,0,2
2018,4,28/01/2018,Ebonyi,12,4,0,8
2018,4,28/01/2018,Edo,51,15,36,0
2018,4,28/01/2018,Ekiti,2,0,2,0
2018,4,28/01/2018,FCT,3,0,3,0
2018,4,28/01/2018,Gombe,4,0,4,0
2018,4,28/01/2018,Imo,1,0,1,0
2018,4,28/01/2018,Kaduna,2,0,2,0
2018,4,28/01/2018,Kogi,4,3,1,0
2018,4,28/01/2018,Kwara,3,0,3,0
2018,4,28/01/2018,Nasarawa,1,0,1,0
2018,4,28/01/2018,Niger,1,0,1,0
2018,4,28/01/2018,Ondo,11,6,5,0
2018,4,28/01/2018,Osun,2,0,2,0
2018,4,28/01/2018,Plateau,7,1,6,0
2018,4,28/01/2018,Rivers,4,0,4,0
2018,4,28/01/2018,Taraba,4,1,3,0
2018,5,04/02/2018,Adamawa,1,0,1,0
2018,5,04/02/2018,Anambra,1,0,0,1
2018,5,04/02/2018,Bayelsa,2,1,1,0
2018,5,04/02/2018,Benue,1,0,0,1
2018,5,04/02/2018,Cross River,1,0,0,1
2018,5,04/02/2018,Ebonyi,4,4,0,0
2018,5,04/02/2018,Edo,91,16,75,0
2018,5,04/02/2018,FCT,10,1,9,0
2018,5,04/02/2018,Gombe,8,0,0,8
2018,5,04/02/2018,Kaduna,2,0,2,0
2018,5,04/02/2018,Katsina,2,0,0,2
2018,5,04/02/2018,Kogi,3,1,2,0
2018,5,04/02/2018,Kwara,1,0,1,0
2018,5,04/02/2018,Nasarawa,5,0,5,0
2018,5,04/02/2018,Niger,2,0,2,0
2018,5,04/02/2018,Ogun,1,0,0,1
2018,5,04/02/2018,Ondo,23,7,16,0
2018,5,04/02/2018,Osun,1,1,0,0
2018,5,04/02/2018,Plateau,2,0,0,2
2018,5,04/02/2018,Rivers,4,0,0,4
2018,5,04/02/2018,Taraba,3,0,3,0
2018,6,11/02/2018,Bauchi,4,2,2,0
2018,6,11/02/2018,Ebonyi,20,9,11,0
2018,6,11/02/2018,Edo,16,0,16,0
2018,6,11/02/2018,FCT,2,0,2,0
2018,6,11/02/2018,Gombe,3,0,3,0
2018,6,11/02/2018,Kaduna,3,0,3,0
2018,6,11/02/2018,Kebbi,1,0,0,1
2018,6,11/02/2018,Kogi,4,4,0,0
2018,6,11/02/2018,Ondo,23,15,8,0
2018,6,11/02/2018,Oyo,1,0,1,0
2018,6,11/02/2018,Plateau,3,1,2,0
2018,6,11/02/2018,Taraba,7,0,7,0
2018,7,18/02/2018,Bauchi,1,0,1,0
2018,7,18/02/2018,Ebonyi,2,0,2,0
2018,7,18/02/2018,Edo,10,4,6,0
2018,7,18/02/2018,Ekiti,2,1,1,0
2018,7,18/02/2018,FCT,2,1,1,0
2018,7,18/02/2018,Kebbi,1,0,1,0
2018,7,18/02/2018,Kwara,2,0,2,0
2018,7,18/02/2018,Nasarawa,2,0,0,2
2018,7,18/02/2018,Ondo,26,15,11,0
2018,7,18/02/2018,Plateau,4,0,4,0
2018,7,18/02/2018,Rivers,4,0,4,0
2018,8,25/02/2018,Edo,6,6,0,0
2018,8,25/02/2018,Ekiti,2,0,2,0
2018,8,25/02/2018,FCT,2,0,2,0
2018,8,25/02/2018,Gombe,1,0,1,0
2018,8,25/02/2018,Kogi,2,1,1,0
2018,8,25/02/2018,Kwara,2,0,0,2
2018,8,25/02/2018,Nasarawa,2,1,1,0
2018,8,25/02/2018,Niger,2,0,2,0
2018,8,25/02/2018,Ondo,19,5,14,0
2018,8,25/02/2018,Plateau,3,0,3,0
2018,8,25/02/2018,Taraba,5,0,5,0
2018,9,04/03/2018,Bauchi,1,1,0,0
2018,9,04/03/2018,Benue,1,0,0,1
2018,9,04/03/2018,Borno,1,0,0,1
2018,9,04/03/2018,Edo,3,3,0,0
2018,9,04/03/2018,Ekiti,1,0,1,0
2018,9,04/03/2018,Enugu,1,0,1,0
2018,9,04/03/2018,FCT,1,0,1,0
2018,9,04/03/2018,Gombe,1,0,1,0
2018,9,04/03/2018,Kogi,4,1,3,0
2018,9,04/03/2018,Nasarawa,1,0,1,0
2018,9,04/03/2018,Ondo,12,1,11,0
2018,9,04/03/2018,Plateau,1,0,1,0
2018,9,04/03/2018,Taraba,4,0,4,0
2018,10,11/03/2018,Borno,2,0,2,0
2018,10,11/03/2018,Ebonyi,1,1,0,0
2018,10,11/03/2018,Edo,3,3,0,0
2018,10,11/03/2018,Ekiti,1,1,0,0
2018,10,11/03/2018,FCT,2,0,2,0
2018,10,11/03/2018,Gombe,3,0,0,3
2018,10,11/03/2018,Kaduna,1,0,1,0
2018,10,11/03/2018,Nasarawa,1,0,1,0
2018,10,11/03/2018,Ogun,1,0,1,0
2018,10,11/03/2018,Ondo,20,2,18,0
2018,10,11/03/2018,Plateau,3,1,2,0
2018,11,18/03/2018,Bauchi,2,0,2,0
2018,11,18/03/2018,Ebonyi,3,1,2,0
2018,11,18/03/2018,Ekiti,2,0,2,0
2018,11,18/03/2018,Gombe,3,0,3,0
2018,11,18/03/2018,Ondo,3,1,2,0
2018,11,18/03/2018,Plateau,1,0,0,1
2018,11,18/03/2018,Taraba,4,0,0,4
2018,12,25/03/2018,Bauchi,3,0,3,0
2018,12,25/03/2018,Edo,2,2,0,0
2018,12,25/03/2018,Ekiti,1,0,1,0
2018,12,25/03/2018,FCT,1,1,0,0
2018,12,25/03/2018,Kogi,2,0,2,0
2018,12,25/03/2018,Ondo,13,2,11,0
2018,12,25/03/2018,Osun,1,1,0,0
2018,12,25/03/2018,Plateau,2,0,2,0
2018,12,25/03/2018,Taraba,2,0,2,0
2018,13,01/04/2018,Bauchi,2,0,2,0
2018,13,01/04/2018,Ekiti,1,0,1,0
2018,13,01/04/2018,Gombe,1,0,1,0
2018,13,01/04/2018,Kogi,2,0,2,0
2018,13,01/04/2018,Ondo,8,1,7,0
2018,13,01/04/2018,Osun,1,0,1,0
2018,13,01/04/2018,Plateau,3,1,2,0
2018,13,01/04/2018,Taraba,1,0,1,0
2018,14,08/04/2018,Ebonyi,1,1,0,0
2018,14,08/04/2018,Edo,3,1,2,0
2018,14,08/04/2018,FCT,2,0,2,0
2018,14,08/04/2018,Gombe,1,0,1,0
2018,14,08/04/2018,Nasarawa,1,0,1,0
2018,14,08/04/2018,Ondo,9,0,9,0
2018,14,08/04/2018,Oyo,1,0,1,0
2018,14,08/04/2018,Plateau,1,0,1,0
